batter,breaks,coordinates,description,endSpeed,extension,game_pk,pitcher,plateTime,result,startSpeed,strikeZoneBottom,strikeZoneTop,type,typeConfidence,zone
643217,"{'breakAngle': 36.0, 'breakLength': 7.2, 'breakY': 24.0, 'breakVertical': -25.3, 'breakVerticalInduced': 11.2, 'breakHorizontal': 18.0, 'spinRate': 2105, 'spinDirection': 243}","{'aY': 28.166954032819444, 'aZ': -21.58489275051868, 'pfxX': -10.77296897298713, 'pfxZ': 6.6009144467070024, 'pX': -0.3113903131395726, 'pZ': 2.451163348455717, 'vX0': 6.021618482337278, 'vY0': -126.47495548057319, 'vZ0': -4.12900420695698, 'x': 128.87, 'y': 172.6, 'x0': -1.3357708407392832, 'y0': 50.00274916500434, 'z0': 5.857134610787401, 'aX': -17.280539617675256}",Swinging Strike,79.0,6.023222909611987,718760,664353,0.43472159301501323,Strikeout,87.0,1.49,3.26,Changeup,2.0,4
650391,"{'breakAngle': 7.2, 'breakLength': 13.2, 'breakY': 24.0, 'breakVertical': -56.3, 'breakVerticalInduced': -12.8, 'breakHorizontal': -7.7, 'spinRate': 2661, 'spinDirection': 37}","{'aY': 24.55549470031724, 'aZ': -42.38497636063389, 'pfxX': 3.4333776394909146, 'pfxZ': -7.5668252442069655, 'pX': 1.4171579057813484, 'pZ': 2.8128914116692707, 'vX0': 5.241896258842269, 'vY0': -116.19900486686635, 'vZ0': 1.4815974467611106, 'x': 62.98, 'y': 162.83, 'x0': -1.3262233657086764, 'y0': 50.00419144264616, 'z0': 6.236616945260078, 'aX': 4.631212226884453}",Ball,73.0,5.917528822046564,718760,664353,0.4738495436232171,Groundout,79.9,1.7,3.48,Curveball,0.9,12
650391,"{'breakAngle': 42.0, 'breakLength': 3.6, 'breakY': 24.0, 'breakVertical': -12.6, 'breakVerticalInduced': 19.1, 'breakHorizontal': 11.4, 'spinRate': 2188, 'spinDirection': 218}","{'aY': 33.19911800002739, 'aZ': -11.469480704783077, 'pfxX': -7.27137758892791, 'pfxZ': 11.195474528390786, 'pX': 0.27014485533960997, 'pZ': 2.837566300955544, 'vX0': 7.108481136301276, 'vY0': -135.95007596907269, 'vZ0': -5.69494601863724, 'x': 106.7, 'y': 162.17, 'x0': -1.449246646682884, 'y0': 50.0002093600825, 'z0': 5.774599695939629, 'aX': -13.443670960433295}",Swinging Strike,84.5,6.027307208177471,718760,664353,0.4047983941919715,Groundout,93.6,1.7,3.48,Sinker,2.0,6
650391,"{'breakAngle': 43.2, 'breakLength': 4.8, 'breakY': 24.0, 'breakVertical': -16.6, 'breakVerticalInduced': 14.5, 'breakHorizontal': 15.2, 'spinRate': 2239, 'spinDirection': 221}","{'aY': 34.01941809608369, 'aZ': -14.938146801787688, 'pfxX': -9.258364895249757, 'pfxZ': 9.15712932972302, 'pX': -0.40102214617529086, 'pZ': 1.309880498355217, 'vX0': 6.269822269490974, 'vY0': -137.19906972284642, 'vZ0': -9.10314148057076, 'x': 132.29, 'y': 203.41, 'x0': -1.5282553199530513, 'y0': 50.00150413882487, 'z0': 5.718263071851141, 'aX': -17.420683195138533}","In play, out(s)",85.5,5.876576460198714,718760,664353,0.40121350384332377,Groundout,94.5,1.7,3.48,Sinker,2.0,13
665161,"{'breakAngle': 25.2, 'breakLength': 3.6, 'breakY': 24.0, 'breakVertical': -13.2, 'breakVerticalInduced': 19.7, 'breakHorizontal': 6.2, 'spinRate': 2086, 'spinDirection': 199}","{'aY': 30.93674958157024, 'aZ': -12.023165553482325, 'pfxX': -3.901684226211425, 'pfxZ': 11.313075157989935, 'pX': -0.3285706718850547, 'pZ': 3.8247214928227464, 'vX0': 3.429892343325499, 'vY0': -133.20643314043204, 'vZ0': -4.205397710894884, 'x': 87.49, 'y': 92.52, 'x0': -1.1314398157978194, 'y0': 50.0041332803901, 'z0': 6.3053256854965385, 'aX': -6.9511792678411695}",Foul,83.0,7.000703579769711,718760,608337,0.4125646800859717,Single,91.5,1.74,3.61,Four-Seam Fastball,0.9,11
665161,"{'breakAngle': 2.4, 'breakLength': 10.8, 'breakY': 24.0, 'breakVertical': -46.2, 'breakVerticalInduced': -4.1, 'breakHorizontal': -1.7, 'spinRate': 2047, 'spinDirection': 35}","{'aY': 23.428977615570073, 'aZ': -34.394551643416634, 'pfxX': 0.15061329787838584, 'pfxZ': -1.5988106403829558, 'pX': 1.2245376442617302, 'pZ': 0.6739685225926684, 'vX0': 5.546837942553633, 'vY0': -117.44176677926663, 'vZ0': -5.538370454790466, 'x': 70.32, 'y': 220.58, 'x0': -1.193156328090025, 'y0': 50.00294592908238, 'z0': 6.28280161614429, 'aX': 0.20867008600220743}",Ball,74.6,6.739230741714567,718760,608337,0.46740316906385315,Single,80.8,1.732589793196,3.4663986476869,Slider,0.85,14
665161,"{'breakAngle': 19.2, 'breakLength': 8.4, 'breakY': 24.0, 'breakVertical': -35.8, 'breakVerticalInduced': 8.9, 'breakHorizontal': 12.0, 'spinRate': 1474, 'spinDirection': 227}","{'aY': 21.507663838122998, 'aZ': -25.924057765878437, 'pfxX': -7.3323852320741025, 'pfxZ': 4.757666544192954, 'pX': 0.024931186156560373, 'pZ': 3.87611738142267, 'vX0': 4.708022769879027, 'vY0': -114.06093440350222, 'vZ0': -0.11940680063073628, 'x': 116.05, 'y': 134.12, 'x0': -1.1160560213278736, 'y0': 50.003216935444414, 'z0': 6.491136463493853, 'aX': -9.635522478576306}","In play, no out",71.7,6.652449601015411,718760,608337,0.48070536963786603,Single,78.4,1.74,3.61,Changeup,0.9,12
608324,"{'breakAngle': 2.4, 'breakLength': 9.6, 'breakY': 24.0, 'breakVertical': -42.0, 'breakVerticalInduced': -1.3, 'breakHorizontal': -2.2, 'spinRate': 1972, 'spinDirection': 45}","{'aY': 25.921105488296178, 'aZ': -32.455689254473995, 'pfxX': 0.523202724251576, 'pfxZ': -0.195211963336396, 'pX': 0.5863063225041784, 'pZ': 1.4534319510848854, 'vX0': 4.479468830853908, 'vY0': -119.83552859246127, 'vZ0': -4.471967565499134, 'x': 94.65, 'y': 199.54, 'x0': -1.3851673210172035, 'y0': 50.00309230671382, 'z0': 6.284351506716478, 'aX': 0.7510570377392746}",Swinging Strike,75.3,6.731653888453677,718760,608337,0.45932453204409107,Strikeout,82.4,1.53,3.22,Slider,0.9,14
608324,"{'breakAngle': 12.0, 'breakLength': 2.4, 'breakY': 24.0, 'breakVertical': -12.5, 'breakVerticalInduced': 19.9, 'breakHorizontal': 2.6, 'spinRate': 2163, 'spinDirection': 204}","{'aY': 29.461589825845635, 'aZ': -11.018033423689982, 'pfxX': -1.9410382258374006, 'pfxZ': 11.68319383142163, 'pX': -0.03539801930731725, 'pZ': 3.015768100947059, 'vX0': 3.854088698204319, 'vY0': -133.85981114041795, 'vZ0': -6.429553746401315, 'x': 118.35, 'y': 157.35, 'x0': -1.2430451579428219, 'y0': 50.00420354033742, 'z0': 6.241234212491127, 'aX': -3.5156242565825395}",Foul,84.0,6.8758227433041705,718760,608337,0.4095119426195035,Strikeout,92.0,1.53,3.22,Four-Seam Fastball,0.9,2
608324,"{'breakAngle': 3.6, 'breakLength': 8.4, 'breakY': 24.0, 'breakVertical': -37.8, 'breakVerticalInduced': 1.0, 'breakHorizontal': -2.2, 'spinRate': 1849, 'spinDirection': 80}","{'aY': 29.591868840528758, 'aZ': -30.960590417646674, 'pfxX': 0.4136319301141831, 'pfxZ': 0.8107529028237384, 'pX': 0.6612007452511723, 'pZ': 2.5715701822717576, 'vX0': 4.799821263396541, 'vY0': -123.28375133162464, 'vZ0': -2.687546993593032, 'x': 91.8, 'y': 169.35, 'x0': -1.3831567113250467, 'y0': 50.00582937747418, 'z0': 6.348812607689861, 'aX': 0.6225393026595682}",Swinging Strike,76.5,6.738307340426616,718760,608337,0.4481197606938796,Strikeout,84.8,1.53,3.22,Slider,0.9,6
670541,"{'breakAngle': 18.0, 'breakLength': 3.6, 'breakY': 24.0, 'breakVertical': -12.7, 'breakVerticalInduced': 19.6, 'breakHorizontal': 4.1, 'spinRate': 2194, 'spinDirection': 202}","{'aY': 31.254097481839484, 'aZ': -11.94943491482681, 'pfxX': -3.0720208298879106, 'pfxZ': 11.165222985474504, 'pX': 0.9391597863856662, 'pZ': 4.261494565598266, 'vX0': 6.356137556636391, 'vY0': -134.27566869567963, 'vZ0': -3.394714712642333, 'x': 81.2, 'y': 123.72, 'x0': -1.0681088614257672, 'y0': 50.00312974733478, 'z0': 6.402422965971459, 'aX': -5.565690248959347}",Ball,83.7,6.771367221194163,718760,608337,0.4091730928090991,Single,92.3,1.70932444161488,3.29766105876309,Four-Seam Fastball,0.9,12
670541,"{'breakAngle': 26.4, 'breakLength': 8.4, 'breakY': 24.0, 'breakVertical': -31.4, 'breakVerticalInduced': 11.4, 'breakHorizontal': 15.6, 'spinRate': 1517, 'spinDirection': 225}","{'aY': 22.82529455683307, 'aZ': -22.863409004742355, 'pfxX': -9.345395408654507, 'pfxZ': 6.80994437980812, 'pX': -0.2043737732737767, 'pZ': 2.121559305550412, 'vX0': 5.242756808342968, 'vY0': -116.46940375270152, 'vZ0': -4.53756774341165, 'x': 124.79, 'y': 181.5, 'x0': -1.2757493808539164, 'y0': 50.00330521561983, 'z0': 6.269422859407419, 'aX': -12.779860872132893}",Called Strike,73.3,6.828100614952563,718760,608337,0.47111870591932936,Single,80.1,1.71,3.49,Changeup,0.91,8
670541,"{'breakAngle': 2.4, 'breakLength': 9.6, 'breakY': 24.0, 'breakVertical': -44.2, 'breakVerticalInduced': -3.2, 'breakHorizontal': -1.7, 'spinRate': 1988, 'spinDirection': 59}","{'aY': 23.158186670320916, 'aZ': -35.30544091816239, 'pfxX': 0.5573805239597254, 'pfxZ': -2.1798288580562684, 'pX': -0.2586094077059557, 'pZ': 4.0306072392482095, 'vX0': 2.6183297468966313, 'vY0': -119.08022535567594, 'vZ0': 1.561009350948755, 'x': 126.86, 'y': 129.95, 'x0': -1.4454983122099025, 'y0': 50.0058806427921, 'z0': 6.56391202037347, 'aX': 0.798862147292128}",Ball,75.1,6.557615149016729,718760,608337,0.4602153964560003,Single,81.8,1.78958659160372,3.4663986476869,Slider,0.89,11
670541,"{'breakAngle': 24.0, 'breakLength': 8.4, 'breakY': 24.0, 'breakVertical': -32.5, 'breakVerticalInduced': 10.8, 'breakHorizontal': 14.6, 'spinRate': 1389, 'spinDirection': 228}","{'aY': 22.23115052688833, 'aZ': -23.432334269248223, 'pfxX': -8.898375195859735, 'pfxZ': 6.476044203957724, 'pX': 0.09308871384201503, 'pZ': 2.119732532607475, 'vX0': 5.535757482939555, 'vY0': -115.64800540606032, 'vZ0': -4.373506575850112, 'x': 113.45, 'y': 181.55, 'x0': -1.1794830452270624, 'y0': 50.00376097642919, 'z0': 6.2918002084987155, 'aX': -12.014236381694214}","In play, no out",72.9,6.682972418201337,718760,608337,0.4742234340097129,Single,79.5,1.71,3.49,Changeup,0.91,8
547989,"{'breakAngle': 26.4, 'breakLength': 8.4, 'breakY': 24.0, 'breakVertical': -32.6, 'breakVerticalInduced': 10.4, 'breakHorizontal': 16.0, 'spinRate': 1619, 'spinDirection': 222}","{'aY': 23.124485772453774, 'aZ': -23.887066665249336, 'pfxX': -9.402614327830033, 'pfxZ': 6.097558302743206, 'pX': -0.7950305110867673, 'pZ': 2.632857413714864, 'vX0': 4.079320868646986, 'vY0': -116.23370738147239, 'vZ0': -3.2402645892031265, 'x': 147.3, 'y': 167.69, 'x0': -1.3574157732545415, 'y0': 50.003780039575936, 'z0': 6.329537761913152, 'aX': -12.781549190943714}",Called Strike,73.0,6.746130605104977,718760,608337,0.4724131288447797,Strikeout,79.9,1.55921547928434,3.18498180481625,Changeup,0.91,4
547989,"{'breakAngle': 3.6, 'breakLength': 8.4, 'breakY': 24.0, 'breakVertical': -37.6, 'breakVerticalInduced': 1.9, 'breakHorizontal': -2.5, 'spinRate': 1839, 'spinDirection': 67}","{'aY': 29.85736262054304, 'aZ': -30.190963369530998, 'pfxX': 0.3645411034277819, 'pfxZ': 1.3381572238628188, 'pX': 1.416487459820308, 'pZ': 2.5147311075404892, 'vX0': 6.347068561084084, 'vY0': -122.46198598182784, 'vZ0': -2.845773787899117, 'x': 63.01, 'y': 170.88, 'x0': -1.2839444044200816, 'y0': 50.00133245800483, 'z0': 6.3422068756703345, 'aX': 0.5394974669078078}",Ball,75.9,6.759574316081296,718760,608337,0.45163470199082134,Strikeout,84.3,1.56142071361309,3.15678892996935,Slider,0.9,12
547989,"{'breakAngle': 21.6, 'breakLength': 2.4, 'breakY': 24.0, 'breakVertical': -11.3, 'breakVerticalInduced': 20.6, 'breakHorizontal': 4.6, 'spinRate': 2244, 'spinDirection': 205}","{'aY': 32.932295596207, 'aZ': -10.355066627248995, 'pfxX': -2.819795266519267, 'pfxZ': 11.92000510186163, 'pX': -0.7182747927021371, 'pZ': 3.900226519447177, 'vX0': 2.428392831815465, 'vY0': -135.27463433150572, 'vZ0': -4.60674062188419, 'x': 144.38, 'y': 133.47, 'x0': -1.2667711206558685, 'y0': 50.000635519835605, 'z0': 6.367749653257443, 'aX': -5.160491977707262}",Swinging Strike,84.0,6.808419941233244,718760,608337,0.4068531859773441,Strikeout,93.0,1.56,3.41,Four-Seam Fastball,0.9,11
547989,"{'breakAngle': 3.6, 'breakLength': 2.4, 'breakY': 24.0, 'breakVertical': -12.4, 'breakVerticalInduced': 19.6, 'breakHorizontal': 0.8, 'spinRate': 2202, 'spinDirection': 203}","{'aY': 32.926545604169455, 'aZ': -11.800969561244258, 'pfxX': -1.1596700539200704, 'pfxZ': 11.09086013795985, 'pX': 0.6349089385699301, 'pZ': 4.337883692118633, 'vX0': 5.3713644321457785, 'vY0': -135.48736782590066, 'vZ0': -3.0520379938025606, 'x': 92.8, 'y': 121.66, 'x0': -1.2329515422675343, 'y0': 50.00004677376856, 'z0': 6.317685610735704, 'aX': -2.1302431663499113}",Ball,84.2,6.821065422476035,718760,608337,0.40613960208500677,Strikeout,93.2,1.53286696460979,3.18498180481625,Four-Seam Fastball,0.9,12
547989,"{'breakAngle': 24.0, 'breakLength': 7.2, 'breakY': 24.0, 'breakVertical': -28.9, 'breakVerticalInduced': 12.8, 'breakHorizontal': 12.5, 'spinRate': 1523, 'spinDirection': 221}","{'aY': 23.44874288099096, 'aZ': -20.55078962722525, 'pfxX': -7.618542873928748, 'pfxZ': 8.290214868887247, 'pX': -0.03345472414967817, 'pZ': 0.18400909907920324, 'vX0': 5.1687543146960175, 'vY0': -117.93555546649183, 'vZ0': -9.24197014578524, 'x': 118.28, 'y': 233.81, 'x0': -1.2690007892599366, 'y0': 50.003089633730156, 'z0': 6.0649549459489025, 'aX': -10.68001795620346}",Ball In Dirt,74.6,6.902472605704562,718760,608337,0.46529871364322517,Strikeout,81.3,1.47573797210118,3.2413399642089,Changeup,0.91,13
547989,"{'breakAngle': 12.0, 'breakLength': 2.4, 'breakY': 24.0, 'breakVertical': -12.1, 'breakVerticalInduced': 19.8, 'breakHorizontal': 2.5, 'spinRate': 2172, 'spinDirection': 201}","{'aY': 32.69159643223613, 'aZ': -11.432404306961569, 'pfxX': -1.6799757175312244, 'pfxZ': 11.333690241016487, 'pX': -0.6702565721219409, 'pZ': 4.076086838685191, 'vX0': 2.179185357944952, 'vY0': -135.2137183627065, 'vZ0': -3.6550939516017955, 'x': 142.55, 'y': 128.73, 'x0': -1.2727897501446743, 'y0': 50.0024838231555, 'z0': 6.262155015556338, 'aX': -3.0745954419669874}",Foul,84.0,6.925089835546278,718760,608337,0.4069148014725119,Strikeout,92.9,1.56,3.41,Four-Seam Fastball,0.9,11
547989,"{'breakAngle': 0.0, 'breakLength': 8.4, 'breakY': 24.0, 'breakVertical': -39.8, 'breakVerticalInduced': -0.7, 'breakHorizontal': 0.0, 'spinRate': 1877, 'spinDirection': 59}","{'aY': 25.913647256253427, 'aZ': -32.19056846621429, 'pfxX': -0.5419637301963718, 'pfxZ': -0.013217146876788988, 'pX': 0.019384107154021724, 'pZ': 1.7872531326761203, 'vX0': 3.6065964124391368, 'vY0': -122.19192819087243, 'vZ0': -3.9505872627610934, 'x': 116.26, 'y': 190.52, 'x0': -1.410484113876732, 'y0': 50.002171791150516, 'z0': 6.215354275194935, 'aX': -0.813487284801198}",Swinging Strike,76.9,6.858460324408405,718760,608337,0.4496717051582939,Strikeout,84.0,1.56,3.41,Slider,0.9,8
663656,"{'breakAngle': 20.4, 'breakLength': 7.2, 'breakY': 24.0, 'breakVertical': -29.8, 'breakVerticalInduced': 12.2, 'breakHorizontal': 10.9, 'spinRate': 1425, 'spinDirection': 227}","{'aY': 23.495470184524972, 'aZ': -22.204953808244834, 'pfxX': -6.731942412880112, 'pfxZ': 7.1562058902397085, 'pX': -0.06399831496047881, 'pZ': 2.581732455772832, 'vX0': 4.7802712173032855, 'vY0': -117.6161777023177, 'vZ0': -3.768579810360194, 'x': 119.44, 'y': 169.07, 'x0': -1.253884343833849, 'y0': 50.0019189172711, 'z0': 6.277527320237065, 'aX': -9.37751744875931}",Foul,73.8,7.044656615972666,718760,608337,0.4666957666384337,Single,80.9,1.66,3.54,Changeup,0.91,5
663656,"{'breakAngle': 2.4, 'breakLength': 9.6, 'breakY': 24.0, 'breakVertical': -42.8, 'breakVerticalInduced': -2.6, 'breakHorizontal': -1.7, 'spinRate': 2000, 'spinDirection': 50}","{'aY': 28.127961947391373, 'aZ': -33.527627073230555, 'pfxX': -0.03593117312967298, 'pfxZ': -0.9327364709776544, 'pX': 1.224990025706953, 'pZ': 1.343602876770876, 'vX0': 6.1406328479910925, 'vY0': -121.07674708009228, 'vZ0': -4.461042343350327, 'x': 70.31, 'y': 202.5, 'x0': -1.3614059065896398, 'y0': 50.00204104814031, 'z0': 6.210646029054893, 'aX': -0.05322640236049831}",Ball,75.6,6.883355000498001,718760,608337,0.45596532904898135,Single,83.3,1.66,3.54,Slider,0.9,14
663656,"{'breakAngle': 15.6, 'breakLength': 2.4, 'breakY': 24.0, 'breakVertical': -12.8, 'breakVerticalInduced': 18.8, 'breakHorizontal': 3.5, 'spinRate': 2151, 'spinDirection': 201}","{'aY': 30.737885494212936, 'aZ': -11.912100164015978, 'pfxX': -2.668691831986285, 'pfxZ': 10.96393697301516, 'pX': 0.6806123737292276, 'pZ': 3.421603051980781, 'vX0': 6.023225558780538, 'vY0': -135.3751348970402, 'vZ0': -5.2863981620622855, 'x': 91.06, 'y': 146.4, 'x0': -1.2307235845694682, 'y0': 50.003252176200434, 'z0': 6.24009207025045, 'aX': -4.932702336582942}",Foul,84.8,6.928016172467698,718760,608337,0.4052592618781681,Single,93.1,1.66,3.54,Four-Seam Fastball,0.9,3
